Ingredient,Substitute 1,Substitute 2,Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (mg),Cholesterol (mg)
"BUTTER,WITH SALT","BUTTER,WHIPPED,WITH SALT","BUTTER,WITHOUT SALT",717.0,0.85,81.11,0.06,0.06,714.0,215.0
"BUTTER,WHIPPED,WITH SALT","BUTTER,WITH SALT","BUTTER,WITHOUT SALT",717.0,0.85,81.11,0.06,0.06,827.0,219.0
"BUTTER OIL,ANHYDROUS","FAT,BEEF TALLOW","OIL,PAM COOKING SPRAY,ORIGINAL",876.0,0.28,99.48,28.47822187560928,12.175499856774563,2.0,256.0
"CHEESE,BLUE","CHEESE,PAST PROCESS,PIMENTO","CHEESE,PAST PROCESS,SWISS",353.0,21.4,28.74,2.34,0.5,1395.0,75.0
"CHEESE,BRICK","CHEESE,COLBY","CHEESE,MUENSTER",371.0,23.24,29.68,2.79,0.51,560.0,94.0
"CHEESE,BRIE","CHEESE,LIMBURGER","CHEESE,MOZZARELLA,WHL MILK,LO MOIST",334.0,20.75,27.68,0.45,0.45,629.0,100.0
"CHEESE,CAMEMBERT","CHEESE,LIMBURGER","CHEESE,WHITE,QUESO BLANCO",300.0,19.8,24.26,0.46,0.46,842.0,72.0
"CHEESE,CARAWAY","CHEESE,TILSIT","CHEESE,CHESHIRE",376.0,25.18,29.2,3.06,12.175499856774563,690.0,93.0
"CHEESE,CHEDDAR","CHEESE,COLBY","CHEESE,MONTEREY",403.0,24.9,33.14,1.28,0.52,621.0,105.0
"CHEESE,CHESHIRE","CHEESE,CARAWAY","CHEESE,TILSIT",387.0,23.37,30.6,4.78,12.175499856774563,700.0,103.0
"CHEESE,COLBY","CHEESE,BRICK","CHEESE,CHEDDAR",394.0,23.76,32.11,2.57,0.52,604.0,95.0
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD","CHEESE,COTTAGE,CRMD,W/FRUIT","CHEESE,COTTAGE,LOWFAT,2% MILKFAT",98.0,11.12,4.3,3.38,2.67,364.0,17.0
"CHEESE,COTTAGE,CRMD,W/FRUIT","CHEESE,COTTAGE,CRMD,LRG OR SML CURD","CHEESE,COTTAGE,LOWFAT,2% MILKFAT",97.0,10.69,3.85,4.61,2.38,344.0,13.0
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD","CHEESE,COTTAGE,CRMD,W/FRUIT","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",72.0,10.34,0.29,6.66,1.85,330.0,7.0
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT","CHEESE,COTTAGE,LOWFAT,1% MILKFAT","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",86.0,11.83,2.45,3.66,3.67,330.0,10.0
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT","CHEESE,COTTAGE,LOWFAT,2% MILKFAT","CHEESE,COTTAGE,CRMD,LRG OR SML CURD",72.0,12.39,1.02,2.72,2.72,406.0,4.0
"CHEESE,CREAM","CREAM,FLUID,HVY WHIPPING","CREAM,FLUID,LT WHIPPING",342.0,5.93,34.24,4.07,3.21,321.0,110.0
"CHEESE,EDAM","CHEESE,MEXICAN BLEND","CHEESE,PROVOLONE",357.0,24.99,27.8,1.43,1.43,965.0,89.0
"CHEESE,FETA","CHEESE,FRSH,QUESO FRESCO","CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",264.0,14.21,21.28,4.09,4.09,1116.0,89.0
"CHEESE,FONTINA","CHEESE,CHEDDAR","CHEESE,GOUDA",389.0,25.6,31.14,1.55,1.55,800.0,116.0
"CHEESE,GJETOST","MACE,GROUND","SAUCE,MOLE POBLANO,DRY MIX,SINGLE BRAND",466.0,9.65,29.51,42.65,12.175499856774563,600.0,94.0
"CHEESE,GOUDA","CHEESE,EDAM","CHEESE,FONTINA",356.0,24.94,27.44,2.22,2.22,819.0,114.0
"CHEESE,GRUYERE","CHEESE,GOAT,HARD TYPE","CHEESE,CHEDDAR",413.0,29.81,32.34,0.36,0.36,336.0,110.0
"CHEESE,LIMBURGER","CHEESE,BRIE","CHEESE,CAMEMBERT",327.0,20.05,27.25,0.49,0.49,800.0,90.0
"CHEESE,MONTEREY","CHEESE,MUENSTER","CHEESE,COLBY",373.0,24.48,30.28,0.68,0.5,536.0,89.0
"CHEESE,MOZZARELLA,WHL MILK","CHEESE,MOZZARELLA,WHL MILK,LO MOIST","CHEESE,WHITE,QUESO BLANCO",300.0,22.17,22.35,2.19,1.03,627.0,79.0
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST","CHEESE,MOZZARELLA,WHL MILK","CHEESE,BRIE",318.0,21.6,24.64,2.47,1.01,415.0,89.0
"CHEESE,MOZZARELLA,PART SKIM MILK","CHEESE,PROVOLONE,RED FAT","CHEESE,MEXICAN,BLEND,RED FAT",254.0,24.26,15.92,2.77,1.13,619.0,64.0
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST","CHEESE,MEXICAN,BLEND,RED FAT","USDA COMMODITY,CHS,CHEDDAR,RED FAT",302.0,25.96,20.03,3.83,0.6,652.0,54.0
"CHEESE,MUENSTER","CHEESE,MEXICAN BLEND","CHEESE,BRICK",368.0,23.41,30.04,1.12,1.12,628.0,96.0
"CHEESE,NEUFCHATEL","CHEESE SAU,PREP FROM RECIPE","CHEESE,FETA",253.0,9.15,22.78,3.59,3.19,334.0,74.0
"CHEESE,PARMESAN,GRATED","CHEESE,PARMESAN,SHREDDED","CHEESE,PARMESAN,HARD",431.0,38.46,28.61,4.06,0.9,1529.0,88.0
"CHEESE,PARMESAN,HARD","CHEESE,PARMESAN,SHREDDED","CHEESE,PARMESAN,GRATED",392.0,35.75,25.83,3.22,0.8,1602.0,68.0
"CHEESE,PORT DE SALUT","CHEESE,MUENSTER","CHEESE,MEXICAN BLEND",352.0,23.78,28.2,0.57,0.57,534.0,123.0
"CHEESE,PROVOLONE","CHEESE,EDAM","CHEESE,MONTEREY",351.0,25.58,26.62,2.14,0.56,876.0,69.0
"CHEESE,RICOTTA,WHOLE MILK","CHEESE,RICOTTA,PART SKIM MILK","CHEESE SAU,PREP FROM RECIPE",174.0,11.26,12.98,3.04,0.27,84.0,51.0
"CHEESE,RICOTTA,PART SKIM MILK","CHEESE,RICOTTA,WHOLE MILK","CHEESE,COTTAGE,CRMD,W/FRUIT",138.0,11.39,7.91,5.14,0.31,125.0,31.0
"CHEESE,ROMANO","CHEESE,PARMESAN,HARD","CHEESE,GRUYERE",387.0,31.8,26.94,3.63,0.73,1200.0,104.0
"CHEESE,ROQUEFORT","CHEESE FD,PAST PROCESS,SWISS","CHEESE,PARMESAN,DRY GRATED,RED FAT",369.0,21.54,30.64,2.0,12.175499856774563,1809.0,90.0
"CHEESE,SWISS","CHEESE,LOW-SODIUM,CHEDDAR OR COLBY","CHEESE,MONTEREY",380.0,26.93,27.8,5.38,1.32,192.0,92.0
"CHEESE,TILSIT","CHEESE,CARAWAY","CHEESE,CHESHIRE",340.0,24.41,25.98,1.88,12.175499856774563,753.0,102.0
"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D","CHEESE,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D","CHEESE,BLUE",371.0,18.13,31.79,3.7,2.26,1671.0,100.0
"CHEESE,PAST PROCESS,PIMENTO","CHEESE,BLUE","CHEESE,PAST PROCESS,SWISS",375.0,22.13,31.2,1.73,0.62,1428.0,94.0
"CHEESE,PAST PROCESS,SWISS","CHEESE,DRY WHITE,QUESO SECO","CHEESE,EDAM",334.0,24.73,25.01,2.1,1.23,1370.0,85.0
"CHEESE FD,COLD PK,AMERICAN","CHICKEN,BROILERS OR FRYERS,WING,MEAT&SKN,CKD,FRIED,BATTER","CHICKEN,BROILERS OR FRYERS,NECK,MEAT&SKN,CKD,FRIED,BATTER",331.0,19.66,24.46,8.32,12.175499856774563,966.0,64.0
"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT","CHEESE FD,PAST PROCESS,AMERICAN,WO/ ADDED VITAMIN D","CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",330.0,16.86,25.63,8.56,5.59,1284.0,98.0
"CHEESE FD,PAST PROCESS,SWISS","CHEESE,ROQUEFORT","CHEESE,PARMESAN,DRY GRATED,RED FAT",323.0,21.92,24.14,4.5,12.175499856774563,1552.0,82.0
"CHEESE SPRD,PAST PROCESS,AMERICAN",KRAFT VELVEETA PAST PROCESS CHS SPRD,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",290.0,16.41,21.23,8.73,7.32,1625.0,55.0
"CREAM,FLUID,HALF AND HALF","CREAM,SOUR,RED FAT,CULTURED","SOUR CREAM,LIGHT",130.0,2.96,11.5,4.3,0.16,41.0,37.0
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)","CREAM,SOUR,CULTURED","CREAM,SOUR,RED FAT,CULTURED",195.0,2.7,19.31,3.66,0.14,40.0,66.0
"CREAM,FLUID,LT WHIPPING","CREAM,FLUID,HVY WHIPPING","CHEESE,CREAM",292.0,2.17,30.91,2.96,0.11,34.0,111.0
"CREAM,FLUID,HVY WHIPPING","CREAM,FLUID,LT WHIPPING","CHEESE,CREAM",345.0,2.05,37.0,2.79,0.11,38.0,137.0
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED","SALAD DRSNG,ITALIAN DRSNG,COMM,REG,WO/ SALT","SOUR CRM,IMITN,CULTURED",257.0,3.2,22.22,12.49,8.0,8.0,76.0
"CREAM,SOUR,RED FAT,CULTURED","CREAM,FLUID,HALF AND HALF","SOUR CREAM,LIGHT",135.0,2.94,12.0,4.26,0.16,89.0,39.0
"CREAM,SOUR,CULTURED","CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)","SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",193.0,2.07,19.73,2.88,2.88,80.0,52.0
EGGNOG,"CAMPBELL,PREGO PASTA,CHNKY GRD MSHRM & GRN PPPR ITAL SAU,RTS","YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",88.0,4.55,4.19,8.05,8.05,54.0,59.0
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE","SAUCE,HOMEMADE,WHITE,MED","CREAM,SOUR,CULTURED",178.0,3.25,16.57,4.68,4.68,48.0,5.0
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS","MILK,PRODUCER,FLUID,3.7% MILKFAT","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",63.0,3.33,3.46,4.74,12.175499856774563,57.0,2.0
"MILK,FILLED,FLUID,W/LAURIC ACID OIL","MILK,BTTRMLK,FLUID,WHL","MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D",63.0,3.33,3.4,4.74,4.74,57.0,2.0
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT","CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE","SALAD DRSNG,MAYO,IMITN,MILK CRM",136.0,1.0,9.97,11.38,11.38,79.0,76.69220283533261
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE","CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT","SALAD DRSNG,MAYO,IMITN,MILK CRM",136.0,1.0,9.97,11.38,12.175499856774563,79.0,76.69220283533261
"CREAM SUBSTITUTE,POWDERED","DESSERT TOPPING,POWDERED","In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH",545.0,4.79,35.48,54.88,54.88,181.0,76.69220283533261
"DESSERT TOPPING,POWDERED","CREAM SUBSTITUTE,POWDERED","In for, M JOHN, ENF, ENFAC LIP, with ir, po, wi ARA and DH",577.0,4.9,39.92,52.54,52.54,122.0,76.69220283533261
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK","MILK SHAKES,THICK VANILLA",KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),194.0,3.61,12.72,17.13,17.13,66.0,10.0
"DESSERT TOPPING,PRESSURIZED","DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK","SALAD DRSNG,SPRAY-STYLE DRSNG,ASSORTED FLAVORS",264.0,0.98,22.3,16.07,16.07,62.0,76.69220283533261
"DESSERT TOPPING,SEMI SOLID,FRZ","ICE CRM,SOFT SERVE,CHOC","SALAD DRSNG,POPPYSEED,CREAMY",318.0,1.25,25.31,23.05,23.05,25.0,76.69220283533261
"SOUR CRM,IMITN,CULTURED",KRAFT BREAKSTONE'S RED FAT SOUR CRM,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",208.0,2.4,19.52,6.63,6.63,102.0,76.69220283533261
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL","DILL WEED,FRSH","USDA COMMODITY,SALSA",61.0,1.75,3.41,6.16,12.175499856774563,78.0,76.69220283533261
"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D","MILK,WHL,3.25% MILKFAT,WO/ ADDED VIT A & VITAMIN D","MILK,BTTRMLK,FLUID,WHL",61.0,3.15,3.25,4.8,5.05,43.0,10.0
"MILK,PRODUCER,FLUID,3.7% MILKFAT","MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",64.0,3.28,3.66,4.65,12.175499856774563,49.0,14.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D","MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D",50.0,3.3,1.98,4.8,5.06,47.0,8.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D","MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",51.0,3.48,1.92,4.97,12.175499856774563,52.0,8.0
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D","MILK,RED FAT,FLUID,2% MILKFAT,WO/ ADDED VIT A & VIT D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",56.0,3.95,1.98,5.49,5.26,59.0,8.0
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D","MILK,FLUID,1% FAT,WO/ ADDED VIT A & VIT D","MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",42.0,3.37,0.97,4.99,5.2,44.0,5.0
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D","MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D","MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",43.0,3.48,0.97,4.97,12.175499856774563,52.0,4.0
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D","MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)","MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL,WO/ VIT A",48.0,3.93,1.17,5.52,12.175499856774563,58.0,4.0
"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)","MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)","MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",34.0,3.37,0.08,4.96,5.09,42.0,2.0
"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D","MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)","MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",37.0,3.57,0.25,5.02,5.02,53.0,2.0
"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)","MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",41.0,3.96,0.25,5.56,12.175499856774563,59.0,2.0
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT","MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D","MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",40.0,3.31,0.88,4.79,4.79,105.0,4.0
"MILK,LO NA,FLUID","YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ","MILK,GOAT,FLUID,W/ ADDED VITAMIN D",61.0,3.1,3.46,4.46,4.46,3.0,14.0
"MILK,DRY,WHL,W/ ADDED VITAMIN D","MILK,DRY,WHL,WO/ ADDED VITAMIN D","MILK,BUTTERMILK,DRIED",496.0,26.32,26.71,38.42,38.42,371.0,97.0
"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D","MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",362.0,36.16,0.77,51.98,51.98,535.0,20.0
"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D","MILK,DRY,NONFAT,INST,WO/ ADDED VIT A & VITAMIN D","MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",358.0,35.1,0.72,52.19,52.19,549.0,18.0
"MILK,DRY,NONFAT,CA RED","PARSLEY,DRIED","SPICES,TARRAGON,DRIED",354.0,35.5,0.2,51.8,12.175499856774563,2280.0,2.0
"MILK,BUTTERMILK,DRIED","MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D","MILK,DRY,NONFAT,REG,W/ ADDED VIT A & VITAMIN D",387.0,34.3,5.78,49.0,49.0,517.0,69.0
"MILK,CND,COND,SWTND",DULCE DE LECHE,"CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PDR,NOT RECON",321.0,7.91,8.7,54.4,54.4,127.0,34.0
"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A","MILK,CND,EVAP,WO/ ADDED VIT A & VITAMIN D","MILK,CND,EVAP,W/ VIT A",134.0,6.81,7.56,10.04,10.04,106.0,29.0
"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D","SOUP,BEAN W/ HAM,CND,CHUNKY,RTS","SOUP,CHICK VEG,CHUNKY,CND,RTS",78.0,7.55,0.2,11.35,11.35,115.0,4.0
"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D","MILK,CHOC BEV,HOT COCOA,HOMEMADE","MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA",83.0,3.17,3.39,10.34,9.54,60.0,12.0
"MILK,CHOC,FLUID,COMM,RED FAT","MILK,CHOC,FLUID,COMM,RED FAT,W/ ADDED CA","MILK,CHOC BEV,HOT COCOA,HOMEMADE",76.0,2.99,1.9,12.13,9.55,66.0,8.0
"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D","MILK,CHOC BEV,HOT COCOA,HOMEMADE","MILK,CHOC,FLUID,COMM,RED FAT",63.0,3.24,1.0,10.44,9.94,61.0,3.0
"MILK,CHOC BEV,HOT COCOA,HOMEMADE","MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D","MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D",77.0,3.52,2.34,10.74,9.66,44.0,8.0
"MILK,GOAT,FLUID,W/ ADDED VITAMIN D","YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ","MILK,LO NA,FLUID",69.0,3.56,4.14,4.45,4.45,50.0,11.0
"MILK,HUMAN,MATURE,FLUID","TODDLER FORMULA, MEAD JOHNSON, ENFAGROW PREMIUM, RTF","CHILD FORMULA,MEAD JOHNSON,PORTAGEN,W/ IRON,PREP FROM PDR",70.0,1.03,4.38,6.89,6.89,17.0,14.0
"MILK,INDIAN BUFFALO,FLUID","MILK,PRODUCER,FLUID,3.7% MILKFAT","SOUP,CHS,CND,PREP W/ EQ VOLUME MILK",97.0,3.75,6.89,5.18,12.175499856774563,52.0,19.0
"MILK,SHEEP,FLUID","MILK,INDIAN BUFFALO,FLUID","SOUP,CHS,CND,PREP W/ EQ VOLUME MILK",108.0,5.98,7.0,5.36,12.175499856774563,44.0,27.0
"MILK SHAKES,THICK CHOC",KRAFT BREYERS LT N' LVLY LOWFAT STR'BERY YOGURT (1% MILKFAT),"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",119.0,3.05,2.7,21.15,20.85,111.0,11.0
"MILK SHAKES,THICK VANILLA",KRAFT BREYERS LOWFAT STRAWBERRY YOGURT (1% MILKFAT),"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",112.0,3.86,3.03,17.75,17.75,95.0,12.0
"WHEY,ACID,FLUID","WHEY,SWEET,FLUID","MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",24.0,0.76,0.09,5.12,5.12,48.0,1.0
"WHEY,ACID,DRIED","WHEY,SWEET,DRIED",GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS,339.0,11.73,0.54,73.45,73.45,968.0,3.0
"WHEY,SWEET,FLUID","WHEY,ACID,FLUID","MILK,NONFAT,FLUID,WO/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",27.0,0.85,0.36,5.14,5.14,54.0,2.0
"WHEY,SWEET,DRIED","WHEY,ACID,DRIED",GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS,353.0,12.93,1.07,74.46,74.46,1079.0,6.0
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ","MILK,LO NA,FLUID","MILK,BTTRMLK,FLUID,WHL",61.0,3.47,3.25,4.66,4.66,46.0,13.0
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ","YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ","YOGURT,VAN OR LEM FLAV,NONFAT MILK,SWTND W/LOW-CALORIE SWTNR",63.0,5.25,1.55,7.04,7.04,70.0,6.0
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ","YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ","YOGURT,VAN/LEM FLAV,NONFAT MILK,W/ LO-CAL SWTNR,FORT W/VIT D",56.0,5.73,0.18,7.68,7.68,77.0,2.0
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ","YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ,FORT W/ VIT D","SOUP,BEAN W/ HAM,CND,CHUNKY,RTS",85.0,4.93,1.25,13.8,13.8,66.0,5.0
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ","YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D",99.0,3.98,1.15,18.64,18.64,53.0,5.0
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ","YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ,FORT W/ VITAMIN D","YOGURT,FRUIT VAR,NONFAT,FORT W/ VITAMIN D",102.0,4.37,1.08,19.05,19.05,58.0,4.0
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ","YOGURT,FRZ,FLAVORS NOT CHOC,NONFAT MILK,W/ LOW-CALORIE SWTNR","SOUP,TOMATO BF W/ NOODLE,CND,COND",105.0,4.86,1.41,18.6,12.175499856774563,65.0,6.0
"EGG,WHL,RAW,FRSH","EGG,WHL,CKD,POACHED","EGG,WHL,CKD,HARD-BOILED",143.0,12.56,9.51,0.72,0.37,142.0,372.0
"EGG,WHITE,RAW,FRESH","VINEGAR,CIDER","EGG SUB,LIQ OR FRZ,FAT FREE",52.0,10.9,0.17,0.73,0.71,166.0,76.69220283533261
"EGG,YOLK,RAW,FRSH","EGG,YOLK,RAW,FROZEN","EGG,DUCK,WHOLE,FRESH,RAW",322.0,15.86,26.54,3.59,0.56,48.0,1085.0
"EGG,YOLK,RAW,FROZEN","EGG,DUCK,WHOLE,FRESH,RAW","EGG,GOOSE,WHOLE,FRESH,RAW",303.0,15.5,25.6,1.15,0.51,67.0,945.0
"EGG,YOLK,RAW,FRZ,SUGARED","EGG,TURKEY,WHL,FRSH,RAW","EGG,YOLK,RAW,FROZEN",307.0,13.8,22.75,10.8,12.175499856774563,67.0,959.0
"EGG,WHL,CKD,FRIED","EGG,WHL,CKD,HARD-BOILED","EGG,WHL,RAW,FRSH",196.0,13.61,14.84,0.83,0.4,207.0,401.0
"EGG,WHL,CKD,HARD-BOILED","EGG,WHL,RAW,FRSH","EGG,WHL,CKD,POACHED",155.0,12.58,10.61,1.12,1.12,124.0,373.0
"EGG,WHOLE,COOKED,OMELET","EGG,WHL,CKD,SCRMBLD","EGG,WHL,CKD,POACHED",154.0,10.57,11.66,0.64,0.31,155.0,313.0
"EGG,WHL,CKD,POACHED","EGG,WHL,RAW,FRSH","EGG,WHL,CKD,HARD-BOILED",143.0,12.51,9.47,0.71,0.37,297.0,370.0
"EGG,WHL,CKD,SCRMBLD","EGG,WHOLE,COOKED,OMELET","EGG,WHL,CKD,POACHED",149.0,9.99,10.98,1.61,1.39,145.0,277.0
"EGG,WHOLE,DRIED","EGG,WHL,DRIED,STABILIZED,GLUCOSE RED","EGG,YOLK,DRIED",594.0,47.35,40.95,4.95,3.08,523.0,1507.0
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED","EGG,YOLK,DRIED","EGG,WHOLE,DRIED",615.0,48.17,43.95,2.38,12.175499856774563,548.0,2017.0
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED","EGG,WHITE,DRIED,PDR,GLUCOSE RED","EGG,WHITE,DRIED",351.0,76.92,0.04,4.17,4.17,1156.0,76.69220283533261
"EGG,WHITE,DRIED,PDR,GLUCOSE RED","EGG,WHITE,DRIED","EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",376.0,82.4,0.04,4.47,4.47,1238.0,76.69220283533261
"EGG,YOLK,DRIED","EGG,WHL,DRIED,STABILIZED,GLUCOSE RED","EGG,WHOLE,DRIED",666.0,34.25,55.8,3.6,3.6,135.0,2052.0
"EGG,DUCK,WHOLE,FRESH,RAW","EGG,GOOSE,WHOLE,FRESH,RAW","EGG,QUAIL,WHOLE,FRESH,RAW",185.0,12.81,13.77,1.45,0.93,146.0,884.0
"EGG,GOOSE,WHOLE,FRESH,RAW","EGG,QUAIL,WHOLE,FRESH,RAW","EGG,DUCK,WHOLE,FRESH,RAW",185.0,13.87,13.27,1.35,0.94,138.0,852.0
"EGG,QUAIL,WHOLE,FRESH,RAW","EGG,GOOSE,WHOLE,FRESH,RAW","EGG,DUCK,WHOLE,FRESH,RAW",158.0,13.05,11.09,0.41,0.4,141.0,844.0
"EGG,TURKEY,WHL,FRSH,RAW","EGG,YOLK,RAW,FRZ,SUGARED","EGG,DUCK,WHOLE,FRESH,RAW",171.0,13.68,11.88,1.15,12.175499856774563,151.0,933.0
