Ingredient,Substitute 1,Substitute 2,Calories,Protein (g),Fat (g),Carbs (g),Sugar (g),Sodium (mg),Cholesterol (mg)
"SOUP,CHS,CND,COND","SOUP,CHICK MUSHROOM,CND,COND","SOUP,CRM OF CHICK,CND,COND",121.0,4.22,8.15,8.19,0.6,693.0,23.0
"SOUP,CHICK W/ DUMPLINGS,CND,COND","SOUP,CHICK,CND,CHUNKY,RTS","GRAVY,BF,CND,RTS",79.0,4.58,4.51,4.93,0.46,618.0,27.0
"SOUP,CHICK BROTH,CND,COND","GRAVY,BF,CND,RTS","SOUP,CHUNKY CHICK NOODLE,CND,RTS",31.0,4.42,1.04,0.75,0.35,621.0,1.0
"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND","CAMPBELL COMPANY,CAMPBELL'S RED&WHITE,CHEDDAR CHS SOUP,COND","SOUP,CLAM CHOWDER,MANHATTAN,CND,COND",81.0,1.61,3.63,9.68,2.42,661.0,4.0
"SOUP,CHICK,CND,CHUNKY,RTS","SOUP,CHICK RICE,CND,CHUNKY,RTS","SOUP,VEG BF,CND,COND",71.0,5.06,2.64,6.88,0.87,354.0,12.0
"SOUP,CRM OF CHICK,CND,COND","CAMPBELL SOUP COMPANY,RED&WHITE,25% LESS NA CRM OF MSHR,COND","SOUP,CRM OF ASPARAGUS,CND,COND",90.0,2.38,5.77,7.16,0.54,702.0,8.0
"SOUP,CHICK GUMBO,CND,COND","CAMPBELL SOUP,CAMPBELL'S RED & WHITE,CHICK GUMBO SOUP,COND","SOUP,TURKEY VEG,CND,COND",45.0,2.1,1.14,6.67,1.93,693.0,3.0
"SOUP,CHUNKY CHICK NOODLE,CND,RTS","SOUP,CHICK W/ RICE,CND,COND","GRAVY,BF,CND,RTS",39.0,3.09,1.16,4.0,0.38,306.0,5.0
"SOUP,CHICK NOODLE,CND,COND","CAMPBELL'S RED & WHITE,CHICK NOODLE SOUP,COND","CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND",52.0,2.59,1.94,6.03,0.54,706.0,11.0
"SOUP,CHICK RICE,CND,CHUNKY,RTS","SOUP,CHICK,CND,CHUNKY,RTS","GRAVY,BF,CND,RTS",53.0,5.11,1.33,5.41,0.6,370.0,5.0
"SOUP,CHICK W/ RICE,CND,COND","GRAVY,TURKEY,CND,RTS","SOUP,TURKEY NOODLE,CND,COND",49.0,2.89,1.56,5.84,0.16,484.0,5.0
"SOUP,CHICK VEG,CHUNKY,CND,RTS","SOUP,TURKEY,CHUNKY,CND,RTS","SOUP,LENTIL W/HAM,CND,RTS",69.0,5.13,2.01,7.87,12.175499856774563,347.0,7.0
"SOUP,CHICK VEG,CND,COND","SOUP,TURKEY VEG,CND,COND","CAMPBELL COMPANY,CAMPBELL'S RED & WHITE,BF NOODLE SOUP,COND",61.0,2.94,2.32,7.01,1.26,733.0,7.0
"SOUP,CHILI BF,CND,COND","CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BEAN W/ BACON SOUP,COND","SOUP,BEAN W/ PORK,CND,COND",117.0,5.09,2.53,18.86,5.09,788.0,10.0
"SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS","SOUP,MINESTRONE,CND,COND","CAMPBELL'S RED & WHITE,BATMAN FUN SHAPES SOUP,COND",56.0,3.02,1.41,7.84,1.67,417.0,6.0
"SOUP,CLAM CHOWDER,MANHATTAN,CND,COND","CAMPBELL SOUP COMPANY,RED&WHITE,98% FAT FR BRCCLI CHS,COND","SOUP,MINESTRONE,CND,CHUNKY,RTS",61.0,1.74,1.76,9.74,2.7,457.0,2.0
"CAMPBELL SOUP COMPANY,HEALTHY REQUEST,CHICK W/ RICE,COND","CAMPBELL'S RED & WHITE,98% FAT FREE CRM OF CHICK SOUP,COND","CAMPBELL'S RED & WHITE,98% FAT FREE CRM OF CELERY SOUP,COND",56.0,1.59,1.19,7.19,0.79,325.0,4.0
"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,COND","SOUP,CHUNKY BF,CND,RTS","CAMPBELL'S RED & WHITE,CHICK ALPHABET SOUP,COND",72.0,3.17,2.06,10.32,0.38,516.0,6.0
"SOUP,BF BROTH BOUILLON & CONSOMME,CND,COND","VINEGAR,RED WINE","SOUP,BF BROTH OR BOUILLON CND,RTS",13.0,2.52,10.740682790148947,0.84,12.175499856774563,653.0,76.69220283533261
"SOUP,CRAB,CND,RTS","SOUP,SHARK FIN,REST-PREP","SOUP,OYSTER STEW,CND,COND",31.0,2.25,0.62,4.22,12.175499856774563,506.0,4.0
"SOUP,ESCAROLE,CND,RTS","MARGARINE-LIKE,VEG OIL SPRD,FAT FREE,LIQ,W/ SALT","SOUP,OYSTER STEW,CND,COND",11.0,0.62,0.73,0.72,12.175499856774563,1558.0,1.0
"SOUP,GAZPACHO,CND,RTS","SOUP,STOCK,BEEF,HOME-PREPARED","BASIL,FRESH",19.0,2.9,0.1,1.8,0.59,303.0,76.69220283533261
"SOUP,LENTIL W/HAM,CND,RTS","SOUP,SCOTCH BROTH,CND,COND","SOUP,TURKEY,CHUNKY,CND,RTS",56.0,3.74,1.12,8.16,12.175499856774563,532.0,3.0
"CAMPBELL COMPANY,CAMPBELL'S RED&WHITE,CHEDDAR CHS SOUP,COND","SOUP,CRM OF POTATO,CND,COND","CAMPBELL SOUP,CAMPBELL'S RED & WHITE,BROCCOLI CHS SOUP,COND",81.0,1.61,4.03,8.87,1.61,524.0,4.0
"SOUP,MINESTRONE,CND,CHUNKY,RTS","SAUCE,PIZZA,CND,RTS","CAMPBELL SOUP COMPANY,RED&WHITE,98% FAT FR BRCCLI CHS,COND",53.0,2.13,1.17,8.64,2.17,288.0,2.0
"SOUP,MINESTRONE,CND,COND","SOUP,CLAM CHOWDER,MANHATTAN STYLE,CND,CHUNKY,RTS","SOUP,VEG W/ BF BROTH,CND,COND",68.0,3.48,2.05,9.17,1.5,516.0,1.0
"CAMPBELL,CAMPBELL'S RED&WHITE,CHICK & DUMPLINGS SOUP,COND","CAMPBELL'S RED & WHITE,BATMAN FUN SHAPES SOUP,COND","CAMPBELL'S RED&WHITE,98% FAT FREE CRM OF BROCCOLI SOUP,COND",56.0,2.38,1.98,7.94,0.79,603.0,8.0
